"","distance","s1","s2","s3","s4","s5"
"DMU75",0.193049684874086,0.615967857143,-0.0206300000000002,0.5,0,0.2174
"DMU76",0.181534243697609,0.0897428571430002,0.67757,0.1845,0,0.28262
"DMU77",0.0942018907563799,0.132622857142999,0.49201,-0.2232,0,0.23914
"DMU78",0.201650420168209,0.173742857142999,0.39312,0.5,0,0.30436
"DMU79",0.389662884615714,0.132622857143,0.62357,0.1845,0.7,0.3261
"DMU80",0.28607542016826,0.399722857143,0.94803,0.1845,0,0.41306
"DMU81",0.199116596638796,0.158542857143,0.70659,0.1845,0,0.30436
"DMU82",0.296897500000248,0.121902857143,0.65057,0.1845,0.4,0.28262
"DMU83",0.2613585714286,0.0468628571429997,0.46673,-0.3155,1,0.1087
"DMU84",0.404630571428599,0.188942857143,0.764629999999999,0,0.699999999999999,0.369579999999999
"DMU85",0.073165126050485,0.219342857143,0.08252,0,0,0.19566
"DMU86",0.167369537815247,0.188942857143,0.231769999999998,0.499999999999999,0,0.2174
"DMU87",0.162510714285833,0.0897428571429984,0.88535,-0.1309,0,0.26088
"DMU88",0.2251745714286,0.121902857143,0.27787,0,0.4,0.3261
"DMU89",0.2419665714286,0.188942857143,0.27787,-0.1309,0.7,0.17392
"DMU90",0.126120327868862,0.111182857143,0.0206300000000004,0.500000000000003,0,0.239140000000003
"DMU91",0.26574942307711,0.132622857143,0.97937,0.5,0,0.3261
"DMU92",0.189548949579967,0.0790228571429998,0.67757,0.1845,0,0.34784
"DMU93",0.229024918032767,0.204142857143,0.04126,0.5,0.4,0.17392
"DMU94",0.369731803278631,0.173742857143,0.04126,0.5,1,0.2174
"DMU95",0.159012071428599,0.173742857143,0.20872,-0.1309,0.999999999999999,-0.4565025
"DMU96",0.1956605714286,0.305022857142999,0.16504,-0.1309,0.4,0.23914
"DMU97",0.224998949579988,0.121902857143,0.85401,0.1845,0,0.36958
"DMU98",0.110906302521096,0.121902857143,0.39312,0,0,0.23914
"DMU99",0.290315961538711,0.143342857143,0.70659,0,0.4,0.28262
"DMU100",0.440541346154194,0.158542857143,0.76463,0.5,0.7,0.3261
"DMU101",0.3377785714286,0.283602857143,0.14441,0,1,0.26088
"DMU102",0.220657773109397,0.188942857143,0.82267,0.1845,0,0.30436
"DMU103",0.20875777310939,0.173742857143,0.44145,0.5,0,0.30436
"DMU104",0.237757704918011,0.219342857142999,0.0206300000000002,0.499999999999999,0.400000000000002,0.2174
