"","min_max_s","s1","s2","s3","s4","s5"
"DMU111",0.405945526315427,0.405945526315427,0.405945526315427,0.405945526315428,0.4,0.405945526315427
"DMU112",0.229497619047404,0.2084,0.229497619047404,0.229497619047404,0,0.229497619047404
"DMU113",0.289377619047368,0.2084,0.289377619047368,0.289377619047368,0,0.289377619047368
"DMU115",0.413064285713958,0.2236,0.413064285713958,0.413064285713958,0,0.413064285713958
"DMU116",0.214650714285719,0.18696,0.214650714285719,0.214650714285719,0.214650714285719,0.214650714285719
"DMU117",0.42071761904729,0.2084,0.42071761904729,0.42071761904729,0,0.420717619047289
"DMU118",0.367724285714333,0.32724,0.3446,0.367724285714333,0.367724285714333,0.367724285714333
"DMU119",0.164554736842192,0.13336,0.06189,0.164554736842192,0,0.164554736842192
"DMU120",0.251390952380777,0.1548,0.251390952380777,0.251390952380777,0,0.251390952380777
"DMU121",0.312904285714073,0.1548,0.312904285714073,0.312904285714073,0,0.312904285714073
"DMU122",0.24651821428554,0.24651821428554,0.24651821428554,0.24651821428554,0,0.24651821428554
"DMU123",0.21115333333315,0.12264,0.21115333333315,0.211153333333151,0,0.21115333333315
"DMU124",0.2482945714286,0.2482945714286,0.2482945714286,0.2482945714286,0.2482945714286,0.2482945714286
"DMU125",0.182484285714149,0.16552,0.182484285714149,0.182484285714149,0,0.182484285714149
"DMU126",0.316924999999749,0.079514285714286,0.316924999999749,0.316924999999749,0.316924999999749,0.316924999999749
"DMU127",0.315856428571082,0.30582,0.0412600000000001,0.315856428571082,0,0.315856428571082
"DMU128",0.19007095238079,0.19007095238079,0.0618900000000001,0.19007095238079,0,0.19007095238079
"DMU129",0.342043947368076,0.19768,0.342043947368076,0.342043947368077,0.342043947368076,0.342043947368076
"DMU130",0.0770082142856413,0.0770082142856413,0.0770082142856413,0.0770082142856413,0,0.0770082142856413
"DMU131",0.274463214285585,0.274463214285585,0.274463214285585,0.274463214285585,0,0.274463214285585
"DMU132",0.358050789473324,0.2084,0.358050789473324,0.358050789473325,0.358050789473324,0.358050789473324
"DMU133",0.315177619047333,0.30582,0.315177619047333,0.315177619047333,0,0.315177619047333
"DMU134",0.33358041666638,0.17624,0.33358041666638,0.333580416666381,0,0.33358041666638
"DMU135",0.275250714285522,0.275250714285522,0.275250714285522,0.275250714285522,0,0.275250714285522
"DMU136",0.284465416666443,0.11192,0.284465416666443,0.284465416666443,0,0.284465416666443
"DMU137",0.296844285714015,0.2844,0.296844285714015,0.296844285714015,0,0.296844285714015
"DMU138",0.34598428571425,0.2388,0.18567,0.34598428571425,0.34598428571425,0.34598428571425
"DMU139",0.204467619047471,0.1548,0.204467619047471,0.204467619047471,0,0.204467619047471
"DMU140",0.338224848485062,0.32724,0.32155,0.338224848485062,0.338224848485062,0.338224848485062
"DMU141",0.0953042857141763,0.0953042857141763,0.0825200000000001,0.0953042857141763,0,0.0953042857141763
"DMU142",0.3845497368418,0.12264,0.3845497368418,0.3845497368418,0.3845497368418,0.3845497368418
"DMU143",0.222928214285616,0.222928214285616,0.222928214285616,0.222928214285616,0,0.222928214285616
"DMU144",0.273663636363699,0.19768,0.18567,0.273663636363698,0.273663636363699,0.273663636363699
"DMU145",0.203124285714133,0.18696,0.203124285714133,0.203124285714133,0,0.203124285714133
"DMU146",0.355363749999711,0.1548,0.355363749999711,0.355363749999711,0,0.355363749999711
"DMU147",0.465876249999428,0.32724,0.465876249999428,0.46587624999943,0.4,0.465876249999428
"DMU148",0.167370952380883,0.167370952380883,0.0825200000000001,0.167370952380883,0,0.167370952380883
"DMU149",0.159783214285623,0.159783214285623,0.159783214285623,0.159783214285623,0,0.159783214285623
"DMU150",0.216997619047625,0.18696,0.10315,0.216997619047625,0.216997619047625,0.216997619047625
