"","d*","w1","w2","w3","w4","w5"
"DMU40",0.328037884615356,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU41",0.142066596638658,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU42",0.26909057142855,0.2,0.2,0.2,0.2,0.2
"DMU43",0.228601890756287,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU44",0.050243067226875,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU45",0.110190126050441,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU46",0.174422478991581,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU47",0.285563653846125,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU48",0.307920576923082,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU49",0.0747077731092463,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU50",0.3805865714286,0.2,0.2,0.2,0.2,0.2
"DMU51",0.188687184873952,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU52",0.253381730769202,0.269230769230769,0.0961538461538462,0.0961538461538462,0.269230769230769,0.269230769230769
"DMU53",0.109248949579816,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU54",0.192670192307697,0.269230769230769,0.0961538461538461,0.0961538461538461,0.269230769230769,0.269230769230769
"DMU55",0.16562836134454,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
"DMU56",0.269494571428575,0.2,0.2,0.2,0.2,0.2
"DMU57",0.35104457142855,0.2,0.2,0.2,0.2,0.2
"DMU58",0.20706257142855,0.2,0.2,0.2,0.2,0.2
"DMU59",0.180469537815129,0.147058823529412,0.147058823529412,0.147058823529412,0.411764705882353,0.147058823529412
